Micro-cycles


mcXX – Nom : Focus/thème | Objectif | Méthode d’entainement | Format(série, rep, respi, récup) |  Mouvements-clés | Progression | Intensité

🟦 A. Fondations & relance


mcA01 – Activation neuromusculaire fine débutant : coordination | réveil moteur + apprentissage moteur | activation ciblée en isolation | 2–3 séries de 10–15 reps, respiration libre, récup 30'' | mouvements de coordination fine (levées de genoux, cercles bras/jambes) | allongement des séquences + précision motrice | intensité très faible

mcA02 – Activation neuromusculaire fine intermédiaire : coordination + précision | affinement moteur | tempo training polyarticulaire | 3 tours de circuit de 3 exos, 8–10 reps, récup 20–30'' | squats lents, pompes tempo, fentes contrôlées | réduction progressive des temps de repos | intensité faible

mcA03 – Mise en mouvement progressive débutant : mobilité active au sol | relance douce | mobility flow lent guidé | 10–12 min de mobilité continue au sol | enchaînements au sol (cat/cow, ouverture hanches, reach thoracique) | ajout progressif de nouvelles postures | intensité très faible

mcA04 – Mise en mouvement progressive intermédiaire : mobilité fluide + cardio doux | relance + transition debout | flow mobilité continue | 15–20 min sans pause | mobilité dynamique debout (cossack, deep squat, twists) | allongement du temps d’enchaînement + fluidification | intensité faible à modérée

mcA05 – Réveil articulaire débutant : mobilisation douce | articulations clés | routine articulaire combinée | 8–10 min debout/au sol, 10–15 reps, récup libre | rotations poignets/chevilles, bâton, épaules | complexification des cercles + coordination accrue | intensité très faible

mcA06 – Réveil articulaire intermédiaire : mobilisation + activation | chaîne complète | mobility flow fluide | 10–15 min sans pause | flow mobilité debout + au sol | passage de patterns isolés à enchaînés | intensité faible

mcA07 – Réveil articulaire confirmé : mobilité + coordination | transitions articulaires dynamiques | séquence dynamique multi-plans | 20 min, 3 blocs de séquences, récup courte | transitions debout/sol, lunges, rotations | enrichissement des chaînes motrices + variation d’angles | intensité modérée

mcA08 – Reconnexion corps-esprit débutant : conscience corporelle | ancrage + respiration | relaxation guidée active | flow au sol lent, 10–12 min, respiration guidée | mouvements doux sur le dos + souffle | durée et attention corporelle progressivement accrues | intensité très faible

mcA09 – Reconnexion corps-esprit intermédiaire : fluidité + souffle | synchronisation souffle/mouvement | flow respiratoire guidé | 15 min continu, respiration consciente | transitions fluides (mobility yoga) | amélioration du rythme + capacité à maintenir le flow | intensité faible

mcA10 – Reconnexion corps-esprit avancé : fluidité + focus interne | transitions continues + respiration | séquence fluide corps-esprit | 20 min sans pause, respiration guidée | routine complète (yoga flow + souffle) | réduction du guidage externe + intensité interne accrue | intensité modérée

mcA11 – Reprise post-blessure débutant : relance ciblée | zone non douloureuse + monitoring sensations | isométrie + tempo training | 2 exos, 3–4 séries de 10 reps, pause 30–45'' | exos contrôlés sur zone saine | intégration progressive d’amplitude et de vitesse | intensité très faible

mcA12 – Reprise post-blessure intermédiaire : contrôle + activation douce | chaîne complète partielle + monitoring | circuit fonctionnel lent | 3–4 exos, 3 tours, récup 30–45'' | patterns fonctionnels légers | passage de mouvements fragmentés à chaînes globales | intensité faible

mcA13 – Redémarrage post-inactivité débutant : global léger | remise en route | circuit full body fonctionnel | 3 circuits de 10 min, 4–5 exos/tour | squats, pas latéraux, extensions dos | montée en durée + augmentation du nombre d’exos | intensité faible

